flags localhost:9092 4002
SendTask 52fdfc07-2182-654f 254
SendTask 52fdfc07-2182-654f 329
SendTask 52fdfc07-2182-654f 999
SendTask 52fdfc07-2182-654f 1005
SendTask 52fdfc07-2182-654f 1006
SendTask 52fdfc07-2182-654f 270
SendTask 52fdfc07-2182-654f 392
SendTask 52fdfc07-2182-654f 278
SendTask 52fdfc07-2182-654f 286
SendTask 52fdfc07-2182-654f 290
SendTask 52fdfc07-2182-654f 1019
SendTask 52fdfc07-2182-654f 938
SendTask 52fdfc07-2182-654f 1024
SendTask 52fdfc07-2182-654f 1031
SendTask 52fdfc07-2182-654f 410
SendTask 52fdfc07-2182-654f 1047
SendTask 52fdfc07-2182-654f 300
SendTask 52fdfc07-2182-654f 573
SendTask 52fdfc07-2182-654f 1054
SendTask 52fdfc07-2182-654f 169
SendTask 52fdfc07-2182-654f 1055
SendTask 52fdfc07-2182-654f 1059
SendTask 52fdfc07-2182-654f 680
SendTask 52fdfc07-2182-654f 682
SendTask 52fdfc07-2182-654f 170
SendTask 52fdfc07-2182-654f 585
SendTask 52fdfc07-2182-654f 684
SendTask 52fdfc07-2182-654f 1065
SendTask 52fdfc07-2182-654f 690
SendTask 52fdfc07-2182-654f 414
SendTask 52fdfc07-2182-654f 1069
SendTask 52fdfc07-2182-654f 692
SendTask 52fdfc07-2182-654f 1070
SendTask 52fdfc07-2182-654f 599
SendTask 52fdfc07-2182-654f 698
SendTask 52fdfc07-2182-654f 601
SendTask 52fdfc07-2182-654f 603
SendTask 52fdfc07-2182-654f 1079
SendTask 52fdfc07-2182-654f 609
SendTask 52fdfc07-2182-654f 1087
SendTask 52fdfc07-2182-654f 577
SendTask 52fdfc07-2182-654f 1091
SendTask 52fdfc07-2182-654f 306
SendTask 52fdfc07-2182-654f 961
SendTask 52fdfc07-2182-654f 932
SendTask 52fdfc07-2182-654f 400
SendTask 52fdfc07-2182-654f 453
SendTask 52fdfc07-2182-654f 175
SendTask 52fdfc07-2182-654f 178
SendTask 52fdfc07-2182-654f 415
SendTask 52fdfc07-2182-654f 179
SendTask 52fdfc07-2182-654f 186
SendTask 52fdfc07-2182-654f 297
SendTask 52fdfc07-2182-654f 298
SendTask 52fdfc07-2182-654f 1020
SendTask 52fdfc07-2182-654f 1021
SendTask 52fdfc07-2182-654f 706
SendTask 52fdfc07-2182-654f 1023
SendTask 52fdfc07-2182-654f 1032
SendTask 52fdfc07-2182-654f 1033
SendTask 52fdfc07-2182-654f 1039
SendTask 52fdfc07-2182-654f 1040
SendTask 52fdfc07-2182-654f 1051
SendTask 52fdfc07-2182-654f 669
SendTask 52fdfc07-2182-654f 1056
SendTask 52fdfc07-2182-654f 1057
SendTask 52fdfc07-2182-654f 1062
SendTask 52fdfc07-2182-654f 1064
SendTask 52fdfc07-2182-654f 685
SendTask 52fdfc07-2182-654f 1066
SendTask 52fdfc07-2182-654f 591
SendTask 52fdfc07-2182-654f 592
SendTask 52fdfc07-2182-654f 594
SendTask 52fdfc07-2182-654f 694
SendTask 52fdfc07-2182-654f 424
SendTask 52fdfc07-2182-654f 1072
SendTask 52fdfc07-2182-654f 605
SendTask 52fdfc07-2182-654f 431
SendTask 52fdfc07-2182-654f 703
SendTask 52fdfc07-2182-654f 709
SendTask 52fdfc07-2182-654f 434
SendTask 52fdfc07-2182-654f 1086
SendTask 52fdfc07-2182-654f 944
SendTask 52fdfc07-2182-654f 593
SendTask 52fdfc07-2182-654f 447
SendTask 52fdfc07-2182-654f 363
SendTask 52fdfc07-2182-654f 451
SendTask 52fdfc07-2182-654f 710
SendTask 52fdfc07-2182-654f 917
SendTask 52fdfc07-2182-654f 332
SendTask 52fdfc07-2182-654f 455
SendTask 52fdfc07-2182-654f 333
SendTask 52fdfc07-2182-654f 464
SendTask 52fdfc07-2182-654f 334
SendTask 52fdfc07-2182-654f 465
SendTask 52fdfc07-2182-654f 343
SendTask 52fdfc07-2182-654f 198
SendTask 52fdfc07-2182-654f 345
SendTask 52fdfc07-2182-654f 199
SendTask 52fdfc07-2182-654f 352
SendTask 52fdfc07-2182-654f 470
SendTask 52fdfc07-2182-654f 595
SendTask 52fdfc07-2182-654f 202
SendTask 52fdfc07-2182-654f 695
SendTask 52fdfc07-2182-654f 203
SendTask 52fdfc07-2182-654f 320
SendTask 52fdfc07-2182-654f 476
SendTask 52fdfc07-2182-654f 760
SendTask 52fdfc07-2182-654f 957
SendTask 52fdfc07-2182-654f 761
SendTask 52fdfc07-2182-654f 960
SendTask 52fdfc07-2182-654f 763
SendTask 52fdfc07-2182-654f 962
SendTask 52fdfc07-2182-654f 789
SendTask 52fdfc07-2182-654f 207
SendTask 52fdfc07-2182-654f 765
SendTask 52fdfc07-2182-654f 812
SendTask 52fdfc07-2182-654f 780
SendTask 52fdfc07-2182-654f 782
SendTask 52fdfc07-2182-654f 316
SendTask 52fdfc07-2182-654f 810
SendTask 52fdfc07-2182-654f 211
SendTask 52fdfc07-2182-654f 811
SendTask 52fdfc07-2182-654f 214
SendTask 52fdfc07-2182-654f 832
SendTask 52fdfc07-2182-654f 220
SendTask 52fdfc07-2182-654f 838
SendTask 52fdfc07-2182-654f 964
SendTask 52fdfc07-2182-654f 834
SendTask 52fdfc07-2182-654f 965
SendTask 52fdfc07-2182-654f 626
SendTask 52fdfc07-2182-654f 486
SendTask 52fdfc07-2182-654f 627
